o;?"country_name","total_deaths","total_excess","total_covid","population","excess_se","excess_ub","excess_lb","excess_100k","excess_100k_ub","excess_100k_lb","ratio_excess_total","ratio_excess_ub","ratio_excess_lb","ratio_reported_covid_total"
"Albania",44871,11156,2698,2877482.5896311584,1195,13498.2,8813.8,387.7,469.09753854428106,306.3024614557188,0.24862383276503755,0.30082235742461727,0.19642530810545786,0.06012792226605157
"Algeria",202623,50425,2756,43847826.086956516,1990,54325.4,46524.6,115.00000000000001,123.89530986613784,106.10469013386218,0.24886118555149217,0.2681107278048395,0.22961164329814482,0.013601614821614526
"Andorra",348,81,84,76850.09487666034,26,131.96,30.04,105.4,171.7109135802469,39.08908641975309,0.23275862068965517,0.37919540229885057,0.08632183908045976,0.2413793103448276
"Antigua and Barbuda",477,-52,5,97560.9756097561,42,30.319999999999993,-134.32,-53.3,31.077999999999992,-137.67799999999997,-0.1090146750524109,0.06356394129979034,-0.28159329140461214,0.010482180293501049
"Argentina",329212,42246,43163,45182887.70053476,6384,54758.64,29733.36,93.5,121.19331629029968,65.80668370970032,0.12832460542143057,0.16633245446703035,0.09031675637583077,0.13111004459132716
"Armenia",62083,15050,7610,2963181.7286867495,1271,17541.16,12558.84,507.90000000000003,591.9704427906977,423.8295572093024,0.24241740895253128,0.28254369150975306,0.2022911263953095,0.12257783934410386
"Aruba",1339,271,166,106608.96931549962,61,390.56,151.44,254.19999999999996,366.34816236162357,142.05183763837638,0.20238984316654218,0.291680358476475,0.11309932785660941,0.1239731142643764
"Australia",273192.2,-14550,1722,25481611.208406303,1896,-10833.84,-18266.16,-57.1,-42.516306804123715,-71.6836931958763,-0.053259207254087046,-0.03965647628299783,-0.06686193822517626,0.0063032546317208175
"Austria",167395,15895,13416,9005665.722379604,2077,19965.92,11824.08,176.5,221.70398741742682,131.29601258257313,0.0949550464470265,0.11927429134681442,0.07063580154723857,0.08014576301562173
"Azerbaijan",135192,33604,7856,10140012.070006035,2387,38282.52,28925.48,331.40000000000003,377.5391955719557,285.26080442804425,0.24856500384638144,0.2831714894372448,0.21395851825551807,0.058109947334161784
"Barbados",4234,-234,69,287822.87822878227,246,248.15999999999997,-716.16,-81.3,86.2196923076923,-248.81969230769232,-0.05526688710439301,0.05861124232404345,-0.16914501653282946,0.01629664619744922
"Belarus",163906,32336,2247,9449444.769140854,2093,36438.28,28233.72,342.2,385.6129210786739,298.78707892132604,0.19728380901248277,0.2223120569106683,0.17225556111429724,0.0137090771539785
"Belgium",222236,20543,28499,11586576.424139876,2740,25913.4,15172.6,177.3,223.65018838533808,130.94981161466194,0.09243776885833078,0.1166030706096222,0.06827246710703937,0.12823754927194514
"Belize",1814,121,242,396721.31147540984,60,238.6,3.4000000000000057,30.5,60.14297520661157,0.8570247933884313,0.06670341786108049,0.13153252480705624,0.001874310915104744,0.13340683572216097
"Bermuda",477,27,10,62211.98156682027,24,74.03999999999999,-20.04,43.400000000000006,119.01244444444444,-32.212444444444444,0.05660377358490566,0.1552201257861635,-0.0420125786163522,0.020964360587002098
"Bolivia",131344,47016,18726,11672293.942403179,1014,49003.44,45028.56,402.79999999999995,419.82698723838695,385.773012761613,0.3579607747594104,0.37309233767815814,0.3428292118406627,0.1425721768790352
"Bosnia",71908,15402,10606,3281210.0553898597,1450,18244,12560,469.3999999999999,556.0143877418516,382.78561225814826,0.21419035434165878,0.253713077821661,0.17466763086165657,0.1474940201368415
"Brazil",3218251.7,684963,618984,212589385.47486037,21531,727163.76,642762.24,322.2,342.05083117190264,302.3491688280972,0.21283698848042246,0.2259499342453544,0.19972404271549052,0.19233548451166824
"Brunei",1418,-60,3,441176.4705882353,70,77.19999999999999,-197.2,-13.6,17.498666666666665,-44.69866666666667,-0.04231311706629055,0.0544428772919605,-0.1390691114245416,0.0021156558533145277
"Bulgaria",260082,59293,31516,6948669.869916795,2669,64524.24,54061.76,853.2999999999998,928.5840485723439,778.0159514276558,0.227978099214863,0.24809190947470414,0.20786428895502188,0.12117716720111349
"Canada",477980,20774,27620,37770909.090909086,2687,26040.52,15507.48,55,68.9433233850005,41.056676614999525,0.04346206954265869,0.05448035482656178,0.0324437842587556,0.057784844554165445
"Chile",251408,39423,39376,19118816.682832204,1788,42927.48,35918.52,206.19999999999996,224.53000471805797,187.86999528194195,0.15680885254248075,0.17074826576719915,0.14286943931776236,0.15662190542862597
"Colombia",530488,148311,125158,50878559.176672384,1968,152168.28,144453.72,291.5,299.08134676456905,283.91865323543095,0.27957465578863233,0.2868458475969296,0.2723034639803351,0.23592993620967864
"Costa Rica",22135,938,2171,5097826.0869565215,374,1671.04,204.96000000000004,18.4,32.779462686567165,4.020537313432836,0.04237632708380393,0.07549311045854981,0.009259543709058054,0.09807996385814322
"Croatia",103023,14919,10695,4105393.5057787565,1438,17737.48,12100.52,363.4,432.0531022186473,294.74689778135263,0.14481232346175127,0.1721700979392951,0.11745454898420742,0.10381177018723975
"Cuba",93387,513,146,11400000,2086,4601.5599999999995,-3575.56,4.5,40.36456140350877,-31.364561403508773,0.005493269941212374,0.049274095966247974,-0.038287556083823227,0.00156338676689475
"Cyprus",11038,633,588,1208015.2671755725,236,1095.56,170.44,52.400000000000006,90.69090679304897,14.109093206951027,0.05734734553361116,0.0992534879507157,0.015441203116506614,0.05327052002174307
"Czechia",240420,40387,34591,10709891.275523733,2729,45735.84,35038.16,377.1,427.0429906653131,327.15700933468696,0.16798519257965228,0.1902330920888445,0.14573729307046004,0.14387738124948007
